"ISP_COMID","Location","Canopy_Mean","Canopy_SD"
"ISP_CAREY","All",13.8333333333333,4.16055962705216
"ISP_CAREY","LB",16.4545454545455,1.03572548135463
"ISP_CAREY","Center",12.5681818181818,4.43242664007671
"ISP_CAREY","RB",16.2727272727273,2.41209075662211
"ISP_CHERRY","All",14.7878787878788,2.65744325659169
"ISP_CHERRY","LB",16,1.94935886896179
"ISP_CHERRY","Center",13.9318181818182,2.7228381847122
"ISP_CHERRY","RB",17,0
"ISP_CHRISTENSEN","All",16.7121212121212,0.988630000247452
"ISP_CHRISTENSEN","LB",17,0
"ISP_CHRISTENSEN","Center",16.6363636363636,1.12251605035211
"ISP_CHRISTENSEN","RB",16.7272727272727,0.904534033733291
"ISP_COAL_BELLEVUE","All",13.0606060606061,4.42676748839042
"ISP_COAL_BELLEVUE","LB",14.5454545454545,3.98405914523458
"ISP_COAL_BELLEVUE","Center",11.7272727272727,4.44272929085231
"ISP_COAL_BELLEVUE","RB",16.9090909090909,0.301511344577764
"ISP_COAL_SNOQUALMIE","All",16.2272727272727,1.49661622998688
"ISP_COAL_SNOQUALMIE","LB",16.8181818181818,0.603022689155527
"ISP_COAL_SNOQUALMIE","Center",15.8863636363636,1.714722963466
"ISP_COAL_SNOQUALMIE","RB",17,0
"ISP_COCHRAN","All",15.8939393939394,2.70116093490751
"ISP_COCHRAN","LB",16.8181818181818,0.603022689155527
"ISP_COCHRAN","Center",15.4772727272727,3.19511717850147
"ISP_COCHRAN","RB",16.6363636363636,0.924416277737175
"ISP_EBRIGHT","All",16.3787878787879,1.46513482199422
"ISP_EBRIGHT","LB",16.8181818181818,0.404519917477945
"ISP_EBRIGHT","Center",16.1590909090909,1.72455834343621
"ISP_EBRIGHT","RB",16.8181818181818,0.603022689155527
"ISP_EDEN_GEORGE_DAVIS","All",15.8636363636364,2.73375686070041
"ISP_EDEN_GEORGE_DAVIS","LB",16,2.68328157299975
"ISP_EDEN_GEORGE_DAVIS","Center",15.5454545454545,3.0305003459368
"ISP_EDEN_GEORGE_DAVIS","RB",17,0
"ISP_FORBES","All",16.5454545454545,1.05512402744261
"ISP_FORBES","LB",16.6363636363636,1.20604537831105
"ISP_FORBES","Center",16.4318181818182,1.1288546834761
"ISP_FORBES","RB",16.9090909090909,0.301511344577764
"ISP_GORSUCH","All",16.4848484848485,1.30375108811724
"ISP_GORSUCH","LB",17,0
"ISP_GORSUCH","Center",16.25,1.54204636011509
"ISP_GORSUCH","RB",16.9090909090909,0.301511344577764
"ISP_GRIFFIN","All",12.9848484848485,5.03370921272062
"ISP_GRIFFIN","LB",17,0
"ISP_GRIFFIN","Center",10.9772727272727,5.09212175982795
"ISP_GRIFFIN","RB",17,0
"ISP_JENKINS","All",12.1666666666667,5.58730245448989
"ISP_JENKINS","LB",10.5454545454545,6.23479969788343
"ISP_JENKINS","Center",11.3636363636364,5.55350678689918
"ISP_JENKINS","RB",17,0
"ISP_JUANITA","All",16.3484848484848,1.67784132597559
"ISP_JUANITA","LB",16.9090909090909,0.301511344577764
"ISP_JUANITA","Center",16.0454545454545,1.98780638070919
"ISP_JUANITA","RB",17,0
"ISP_JUDD","All",16.2727272727273,1.96543559114438
"ISP_JUDD","LB",17,0
"ISP_JUDD","Center",15.9318181818182,2.33674119406361
"ISP_JUDD","RB",16.9090909090909,0.301511344577764
"ISP_LAUGHING_JACOBS","All",15.3484848484848,2.23601585409561
"ISP_LAUGHING_JACOBS","LB",16.0909090909091,1.81408629643385
"ISP_LAUGHING_JACOBS","Center",14.8636363636364,2.43607489374799
"ISP_LAUGHING_JACOBS","RB",16.5454545454545,0.687551650952329
"ISP_LEWIS","All",16.4848484848485,1.09884448738628
"ISP_LEWIS","LB",16.0909090909091,1.81408629643385
"ISP_LEWIS","Center",16.4545454545455,0.975384133143533
"ISP_LEWIS","RB",17,0
"ISP_LITTLE_BEAR_DS","All",14.6818181818182,3.36570527942837
"ISP_LITTLE_BEAR_DS","LB",15.7272727272727,2.19503572139084
"ISP_LITTLE_BEAR_DS","Center",13.8409090909091,3.6912415622136
"ISP_LITTLE_BEAR_DS","RB",17,0
"ISP_LITTLE_SOOS","All",16.5606060606061,1.32582384116777
"ISP_LITTLE_SOOS","LB",16.6363636363636,0.924416277737175
"ISP_LITTLE_SOOS","Center",16.4772727272727,1.54752069323259
"ISP_LITTLE_SOOS","RB",16.8181818181818,0.404519917477945
"ISP_LONGFELLOW","All",15.4848484848485,2.1500799573141
"ISP_LONGFELLOW","LB",15.1818181818182,2.48266718744909
"ISP_LONGFELLOW","Center",15.25,2.23216445172279
"ISP_LONGFELLOW","RB",16.7272727272727,0.646669790682863
"ISP_MAPLEWOOD","All",16.3939393939394,0.990396779521107
"ISP_MAPLEWOOD","LB",17,0
"ISP_MAPLEWOOD","Center",16.1136363636364,1.10423938024302
"ISP_MAPLEWOOD","RB",16.9090909090909,0.301511344577764
"ISP_MAY","All",15.9848484848485,2.54493417924511
"ISP_MAY","LB",16.7272727272727,0.904534033733291
"ISP_MAY","Center",15.5681818181818,3.00695107324197
"ISP_MAY","RB",16.9090909090909,0.301511344577764
"ISP_MCALEER","All",15.2272727272727,3.16128238120328
"ISP_MCALEER","LB",16.9090909090909,0.301511344577764
"ISP_MCALEER","Center",14.4318181818182,3.61133697636638
"ISP_MCALEER","RB",16.7272727272727,0.646669790682863
"ISP_MILLER","All",16.6060606060606,0.820483682466308
"ISP_MILLER","LB",17,0
